name,name_of_building,Super_Area,Under_Construction,Transaction,Furnishing,Bathroom,price,builder
"3 BHK Apartment for Sale in Aero View Heights, Sector 22 Dwarka New Delhi",,"CARPET AREA
1050 sqft","STATUS
Ready to Move","FLOOR
2 out of 5","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Aero View Heights, Sector 22 Dwarka New Delhi",,"CARPET AREA
1050 sqft","STATUS
Ready to Move","FLOOR
1 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Princess Park Apartments, Sector 6 Dwarka New Delhi",,"CARPET AREA
1550 sqft","STATUS
Ready to Move","FLOOR
4 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Rashi Apartments, Sector 7 Dwarka New Delhi",,"CARPET AREA
1250 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Vidya Sagar Apartments, Sector 6 Dwarka New Delhi",,"CARPET AREA
1300 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Mayank Mansion, Sector 6 Dwarka New Delhi",,"CARPET AREA
1350 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Lords Apartments, Sector 19 Dwarka New Delhi",,"CARPET AREA
1400 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Sector 5 Pocket 1 DDA SFS Flats, Sector 5 Dwarka New Delhi",,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Pacific Apartment, Sector 10 Dwarka New Delhi",,"CARPET AREA
860 sqft","STATUS
Ready to Move","FLOOR
8 out of 11","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Shree Ganesh Apartment, Sector 7 Dwarka New Delhi",,"CARPET AREA
1937 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in New Jyoti Apartments, Sector 4 Dwarka New Delhi",,"CARPET AREA
1300 sqft","STATUS
Ready to Move","FLOOR
1 out of 1","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Baroda House Apartment, Sector 10 Dwarka New Delhi",,"SUPER AREA
1300 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished","SOCIETY
Metrotech Builder Floors",,
"3 BHK Apartment for Sale in Seema Apartments, Sector 11 Dwarka New Delhi",,"CARPET AREA
800 sqft","STATUS
Ready to Move","FURNISHING
Semi-Furnished","BATHROOM
3","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Air India Employees Apartment, Dwarka Sector 3 New Delhi",,"SUPER AREA
1800 sqft","TRANSACTION
Resale","FLOOR
2 out of 4","TRANSACTION
Resale","BATHROOM
2",,
"3 BHK Apartment for Sale in DLF Midtown Plaza, Moti Nagar, Kirti Nagar New Delhi",,"SUPER AREA
650 sqft","STATUS
Ready to Move","FURNISHING
Semi-Furnished","BATHROOM
2","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in The Consulate Apartment, Sector 24 Dwarka New Delhi",,"CARPET AREA
57 sqm","TRANSACTION
Resale","TRANSACTION
Resale","FURNISHING
Unfurnished","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Antriksh Shivalik Apartments, Sector 6 Dwarka New Delhi",,"CARPET AREA
20 sqyrd","STATUS
Ready to Move","FLOOR
5 out of 5","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Sukh Sagar Apartment, Dwarka Sector 9 New Delhi",,"CARPET AREA
750 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Mahajan Shree Apartments, Sector 23 Dwarka New Delhi",,"SUPER AREA
540 sqft","STATUS
Ready to Move","FLOOR
1 out of 10","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Sukh Sagar Apartment, Dwarka Sector 9 New Delhi",,"SUPER AREA
2100 sqft","STATUS
Ready to Move","FLOOR
Ground out of 3","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Rohit Apartments, Sector 10 Dwarka New Delhi",,"SUPER AREA
1250 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in RWA Jasola, Jasola New Delhi",,"SUPER AREA
990 sqft","STATUS
Ready to Move","FLOOR
2 out of 3","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"2 BHK Apartment for Sale in Lords Apartments, Sector 19 Dwarka New Delhi",,"SUPER AREA
1050 sqft","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in DDA Flats Vasant Kunj, Nangal Dewat New Delhi",,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
1 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Abul Fazal Enclave New Delhi",,"SUPER AREA
1050 sqft","STATUS
Ready to Move","FLOOR
1 out of 3","TRANSACTION
Resale","FURNISHING
Furnished",,
"2 BHK Apartment for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",,"SUPER AREA
1000 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,,"CARPET AREA
850 sqft","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Airlines Apartments, Sector 23 Dwarka New Delhi",,"CARPET AREA
1200 sqft","STATUS
Ready to Move","FURNISHING
Furnished","BATHROOM
2","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Pacific Apartment, Sector 10 Dwarka New Delhi",,"SUPER AREA
950 sqft","TRANSACTION
Resale","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Umang Winter Hills, Dwarka Mor New Delhi",,"SUPER AREA
540 sqft","STATUS
Ready to Move","FLOOR
2 out of 5","TRANSACTION
Resale","FURNISHING
Unfurnished",,
"3 BHK Builder Floor for Sale in Karkardooma, Anand Vihar New Delhi",,"SUPER AREA
1080 sqft","STATUS
Ready to Move","FLOOR
4 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Model Town New Delhi,,"CARPET AREA
900 sqft","STATUS
Ready to Move","FLOOR
4 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Gangotri Pocket C, Alaknanda New Delhi",,"CARPET AREA
1115 sqft","STATUS
Ready to Move","FLOOR
7 out of 28","TRANSACTION
New Property","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in Risland Sky Mansion, Chattarpur New Delhi",,"CARPET AREA
2300 sqft","UNDER CONSTRUCTION
Poss. by May '25","FLOOR
2 out of 2","TRANSACTION
Resale","BATHROOM
3",,
"3 BHK Builder Floor for Sale in DDA New Line Apartment, Mehrauli New Delhi",,"CARPET AREA
120 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 6","TRANSACTION
Resale","SOCIETY
DDA Flats Pocket D",,
3 BHK Builder Floor for Sale in Preet Vihar New Delhi,,"SUPER AREA
60 sqyrd","STATUS
Ready to Move","FLOOR
Ground out of 4","TRANSACTION
Resale","SOCIETY
DDA Flats Pocket D",,
"3 BHK Builder Floor for Sale in Yojana Vihar RWA, Anand Vihar New Delhi",,"SUPER AREA
60 sqm","STATUS
Ready to Move","FURNISHING
Semi-Furnished","SOCIETY
Mayfair Apartments","SOCIETY
Project Gangotri Enclave",,
"2 BHK Apartment for Sale in DDA Flats Vasant Kunj, Vasant Kunj New Delhi",,"STATUS
Ready to Move","TRANSACTION
Resale","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FURNISHING
Semi-Furnished",,
3 BHK Builder Floor for Sale in Chanakyapuri New Delhi,,"SUPER AREA
1500 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FURNISHING
Unfurnished",,
"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",,"SUPER AREA
1500 sqft","STATUS
Ready to Move","TRANSACTION
Resale","FURNISHING
Semi-Furnished","FURNISHING
Unfurnished",,
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,,"SUPER AREA
1850 sqft","STATUS
Ready to Move","FLOOR
3 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in TARC Kailasa, Kirti Nagar New Delhi",,"SUPER AREA
80 sqyrd","STATUS
Ready to Move","FLOOR
2 out of 4","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
"3 BHK Apartment for Sale in TARC Tripundra, Bijwasan New Delhi",,"SUPER AREA
450 sqft","STATUS
Ready to Move","FLOOR
4 out of 8","TRANSACTION
Resale","FURNISHING
Furnished",,
"3 BHK Apartment for Sale in Sawasdee Heights, Lawrence Road New Delhi",,"SUPER AREA
1600 sqft","STATUS
Ready to Move","FLOOR
6 out of 7","TRANSACTION
Resale","FURNISHING
Semi-Furnished",,
